code,name,trade,close,high,low,open,preclose,chg,pctChg,turn,volume,amount,tcap,mcap,adx,adxr,boll,boll_lb,boll_ub,cci,cci_20,close_-1_r,close_-2_r,cr,cr-ma1,cr-ma2,cr-ma3,dma,dx,kdjd,kdjj,kdjk,macd,macdh,macds,mdi,pdi,rsi_12,rsi_6,trix,trix_9_sma,vr,vr_6_sma,wr_10,wr_6
'000001,平安银行,15.17,15.17,15.27,14.8,14.8,14.8,0.37,2.5,0.6272,121706482,1838547595.46,294387779064.0,294385410344.0,29.4253,26.1979,15.3085,14.6581,15.9589,-81.5238,-68.6988,2.5,-0.9144,112.7129,118.7504,138.1006,135.348,0.756,37.2219,36.8655,6.3829,26.7046,0.1201,-0.0947,0.2149,23.6458,10.8178,49.6556,46.4355,0.1794,0.2757,150.3936,144.7389,69.1729,61.6822
'000001,平安银行,14.8,14.8,15.41,14.76,15.39,15.31,-0.51,-3.3312,0.6093,118237440,1766848544.72,287207589330.0,287205278384.0,26.3067,24.9069,15.316,14.6689,15.9631,-118.8371,-103.0045,-3.3312,-2.5675,113.1301,126.1382,141.0995,133.8356,0.7982,37.2219,41.9459,-9.9616,24.6434,0.1401,-0.0985,0.2386,27.462,12.5637,42.6537,31.1803,0.2151,0.2869,146.0604,137.5138,96.9925,96.2963
'000001,平安银行,15.31,15.31,15.37,14.98,15.19,15.19,0.12,0.79,0.3157,61271111,932800766.03,297104607611.0,297102217031.0,21.9407,24.347,15.333,14.7264,15.9396,-62.5306,-32.5634,0.79,1.2566,122.2222,132.7449,145.0518,132.6139,0.8594,24.3451,50.5971,5.1898,35.4613,0.2012,-0.062,0.2632,24.7984,15.088,51.7472,46.3396,0.2539,0.294,173.5267,136.3726,70.2703,69.1589
'000001,平安银行,15.19,15.19,15.31,15.11,15.2,15.12,0.07,0.463,0.3164,61408700,933035044.47,294775897428.0,294773525585.0,20.9789,25.3096,15.3215,14.7044,15.9386,-70.3716,-38.6146,0.463,-2.8151,114.0655,136.1052,145.368,130.6581,0.87,15.4652,58.165,-1.3486,38.3272,0.2244,-0.0543,0.2787,23.6748,17.3329,49.4215,40.6851,0.2801,0.2969,148.1817,133.8784,76.9231,91.8367
'000001,平安银行,15.12,15.12,15.61,15.12,15.59,15.63,-0.51,-3.263,0.5468,106101124,1623376200.81,293417483154.0,293415122241.0,23.1844,27.0418,15.3185,14.6981,15.9389,-38.4671,-6.7534,-3.263,-2.8902,104.8607,142.4293,144.6442,128.311,0.873,14.7985,68.084,24.0594,53.4091,0.2629,-0.0294,0.2923,25.9129,19.2321,48.0834,37.4827,0.3045,0.2972,126.9539,132.1424,76.378,100.0
'000001,平安银行,15.63,15.63,15.83,15.51,15.59,15.57,0.06,0.3854,0.3088,59920047,939763265.95,303314501435.0,303312060888.0,26.5387,28.5848,15.2855,14.5595,16.0115,75.7941,99.0789,0.3854,-1.4502,116.7726,141.5365,146.3054,125.0064,0.9144,16.1682,75.4214,63.8571,71.5666,0.3153,0.0157,0.2996,16.2391,22.503,58.402,55.7608,0.3204,0.2953,123.317,134.7254,36.2205,52.2727
'000001,平安银行,15.57,15.57,15.84,15.39,15.67,15.86,-0.29,-1.8285,0.4472,86775631,1354536272.84,302150146343.0,302147715165.0,30.6869,29.4033,15.2225,14.4089,16.0361,74.6425,91.0648,-1.8285,-3.1114,116.8667,139.0816,150.2713,120.5843,0.8996,16.1682,77.3488,71.683,75.4602,0.3257,0.03,0.2957,18.3852,25.477,57.4165,53.5396,0.3191,0.2922,107.0431,140.3284,40.9449,55.3191
'000001,平安银行,15.86,15.86,16.05,15.71,16.0,16.07,-0.21,-1.3068,0.4618,89616165,1418370973.91,307777862620.0,307775386161.0,36.4944,28.8898,15.174,14.3325,16.0155,172.5977,157.2273,-1.3068,1.8626,149.5828,142.6751,151.5765,116.6042,0.9034,49.7002,78.2931,94.4021,83.6627,0.3404,0.0522,0.2882,9.9402,29.5837,64.1501,67.1115,0.3122,0.2889,139.2132,149.8379,18.1102,19.6581
'000001,平安银行,16.07,16.07,16.09,15.52,15.62,15.57,0.5,3.2113,0.7076,137319330,2186759087.81,311853105442.0,311850596192.0,31.2121,25.8479,15.104,14.2699,15.9381,221.7247,178.969,3.2113,4.0803,151.0049,145.3127,152.7165,112.7812,0.8308,49.7002,75.6083,102.4312,84.5492,0.3247,0.0495,0.2751,11.3251,33.7053,69.5655,79.2315,0.2963,0.2859,158.5617,151.2397,1.5748,1.5748
'000001,平安银行,15.57,15.57,15.72,15.4,15.54,15.44,0.13,0.842,0.5092,98821563,1543414501.54,302150146343.0,302147715165.0,23.8169,23.7023,15.023,14.2735,15.7725,154.616,124.5323,0.842,1.4332,137.894,146.8931,150.9998,109.7087,0.744,32.8723,71.1378,90.5582,77.6113,0.2784,0.0157,0.2628,13.3806,26.4855,62.6916,67.634,0.2809,0.2841,137.7658,152.9509,13.3929,16.6667
