date,close,kdjk,kdjd,kdjj,signal,signal_2
1991-01-02,67.41,33.3333,44.4444,11.1111,0.0,0.0
1991-01-03,66.4,22.2222,37.037,-7.4074,0.0,0.0
1991-01-04,66.07,14.8148,29.6296,-14.8148,0.0,0.0
1991-01-07,66.42,18.583,25.9474,3.8542,0.0,0.0
1991-01-09,65.76,12.3887,21.4278,-5.6897,0.0,0.0
1991-01-10,65.43,8.2591,17.0383,-9.2992,0.0,0.0
1991-01-11,65.1,5.5061,13.1942,-9.8702,0.0,0.0
1991-01-14,64.45,3.6707,10.0197,-9.0273,0.0,0.0
1991-01-15,64.13,2.4471,7.4955,-7.6496,0.0,0.0
1991-01-16,63.81,1.6314,5.5408,-6.1874,0.0,0.0
1991-01-17,63.49,1.0876,4.0564,-4.85,0.0,0.0
1991-01-18,63.2,0.7251,2.946,-3.7167,0.0,0.0
1991-01-21,62.54,0.4834,2.1251,-2.8001,0.0,0.0
1991-01-22,62.23,0.3223,1.5242,-2.0815,0.0,0.0
1991-01-23,61.92,0.2148,1.0877,-1.5309,0.0,0.0
1991-01-24,61.62,0.1432,0.7729,-1.1161,0.0,0.0
1991-01-25,61.3,0.0955,0.5471,-0.8077,0.0,0.0
1991-01-29,60.39,0.0637,0.3859,-0.5809,0.0,0.0
1991-01-30,60.09,0.0424,0.2714,-0.4156,0.0,0.0
1991-01-31,60.39,3.2437,1.2622,7.2068,1.0,1.0
1991-02-04,61.29,18.489,7.0045,41.4581,0.0,0.0
1991-02-05,60.6,20.2699,11.4263,37.9572,0.0,0.0
1991-02-06,61.91,46.6645,23.1724,93.6487,0.0,0.0
1991-02-07,62.22,64.443,36.9292,119.4705,0.0,0.0
1991-02-08,62.53,76.2953,50.0513,128.7834,0.0,0.0
1991-02-11,63.15,84.1969,61.4331,129.7244,0.0,0.0
1991-02-12,63.47,89.4646,70.777,126.8399,0.0,0.0
1991-02-13,63.79,92.9764,78.1768,122.5756,0.0,0.0
1991-02-22,64.11,95.3176,83.8904,118.172,0.0,0.0
1991-02-25,64.75,96.8784,88.2197,114.1958,0.0,0.0
1991-02-26,65.07,97.9189,91.4528,110.8512,0.0,0.0
1991-02-27,65.4,98.6126,93.8394,108.1591,0.0,0.0
1991-02-28,65.07,95.2423,94.307,97.1129,0.0,0.0
1991-03-01,64.74,87.0504,91.8882,77.375,-1.0,-1.0
1991-03-04,64.1,68.9145,84.2303,38.2828,0.0,0.0
1991-03-05,63.36,45.943,71.4678,-5.1068,0.0,0.0
1991-03-06,63.04,30.6286,57.8548,-23.8236,0.0,0.0
1991-03-07,62.72,20.4191,45.3762,-29.4951,0.0,0.0
1991-03-08,62.41,13.6127,34.7884,-28.7386,0.0,0.0
1991-03-11,61.8,9.0752,26.2173,-25.2092,0.0,0.0
1991-03-12,61.49,6.0501,19.4949,-20.8395,0.0,0.0
1991-03-25,0.0,4.0334,14.3411,-16.5819,0.0,0.0
1991-03-26,0.0,2.6889,10.457,-12.8472,0.0,0.0
1991-03-27,0.0,1.7926,7.5689,-9.7599,0.0,0.0
1991-03-28,0.0,1.1951,5.4443,-7.3033,0.0,0.0
1991-03-29,0.0,0.7967,3.8951,-5.4,0.0,0.0
1991-04-02,0.0,0.5311,2.7738,-3.9541,0.0,0.0
1991-04-03,49.0,26.7834,10.777,58.7963,1.0,0.0
1991-04-04,48.76,44.2881,21.9474,88.9696,0.0,0.0
1991-04-05,48.52,62.5322,35.4757,116.6453,0.0,0.0
1991-04-08,48.04,74.3684,48.4399,126.2254,0.0,0.0
1991-04-09,47.8,82.0959,59.6586,126.9707,0.0,0.0
1991-04-10,47.56,87.0844,68.8005,123.6521,0.0,0.0
1991-04-11,0.0,58.0562,65.2191,43.7306,-1.0,0.0
1991-04-12,47.08,70.7314,67.0565,78.0811,1.0,0.0
1991-04-15,0.0,47.1543,60.4224,20.6179,-1.0,0.0
1991-04-16,46.38,63.1425,61.3291,66.7692,1.0,0.0
1991-04-17,46.15,73.8001,65.4861,90.4281,0.0,0.0
1991-04-18,45.92,81.0624,70.6782,101.8308,0.0,0.0
1991-04-19,45.69,85.9035,75.7533,106.204,0.0,0.0
1991-04-22,0.0,57.269,69.5919,32.6233,-1.0,0.0
1991-04-23,45.0,70.04,69.7413,70.6375,1.0,0.0
1991-04-24,44.78,78.3982,72.6269,89.9409,0.0,0.0
1991-04-25,44.56,84.2908,76.5149,99.8426,0.0,0.0
1991-04-26,44.34,88.061,80.3636,103.4559,0.0,0.0
1991-04-29,43.9,90.4156,83.7143,103.8182,0.0,0.0
